frame,person_id,class,bbox,confidence
1,1,person,"[339.11, 1647.86, 711.02, 2761.76]",0.9
1,2,person,"[1153.66, 1654.32, 1378.37, 2443.56]",0.86
1,3,person,"[0.0, 1562.26, 309.34, 2743.34]",0.86
1,4,person,"[1741.34, 1699.56, 1917.74, 2144.85]",0.8
1,5,person,"[1906.17, 1914.13, 2153.44, 3296.7]",0.77
1,6,person,"[980.92, 1700.23, 1169.71, 2381.23]",0.76
1,7,person,"[887.17, 1727.14, 1017.36, 2128.44]",0.7
1,8,person,"[713.9, 1718.27, 857.08, 2104.37]",0.61
1,9,backpack,"[983.1, 1796.19, 1163.26, 2046.59]",0.54
1,10,backpack,"[1210.77, 1782.71, 1370.48, 2034.68]",0.31
2,1,person,"[340.51, 1646.53, 701.74, 2728.48]",0.88
2,2,person,"[1150.3, 1656.23, 1376.02, 2449.13]",0.86
2,3,person,"[11.94, 1571.06, 314.9, 2725.67]",0.87
2,4,person,"[1748.98, 1701.91, 1925.41, 2147.42]",0.82
2,5,person,"[1922.1, 1998.9, 2159.48, 3327.47]",0.42
2,6,person,"[979.54, 1708.28, 1169.71, 2393.82]",0.77
2,7,person,"[885.63, 1718.13, 1020.59, 2135.03]",0.64
2,8,person,"[710.08, 1707.93, 856.66, 2103.28]",0.66
2,9,backpack,"[980.76, 1796.6, 1172.72, 2063.58]",0.54
2,10,backpack,"[1210.56, 1790.85, 1368.37, 2039.94]",0.32
3,1,person,"[340.95, 1646.27, 699.46, 2720.3]",0.89
3,2,person,"[1150.62, 1662.23, 1376.64, 2456.26]",0.86
3,3,person,"[26.13, 1587.67, 314.22, 2678.87]",0.87
3,4,person,"[1749.27, 1706.43, 1924.27, 2148.31]",0.82
3,6,person,"[981.11, 1706.09, 1171.13, 2390.46]",0.78
3,7,person,"[882.96, 1718.82, 1018.38, 2137.47]",0.7
3,8,person,"[710.71, 1700.81, 859.58, 2101.61]",0.66
3,9,backpack,"[982.72, 1798.85, 1176.81, 2068.96]",0.56
4,1,person,"[346.53, 1646.81, 699.15, 2701.8]",0.89
4,2,person,"[1152.98, 1669.76, 1376.62, 2455.86]",0.87
4,3,person,"[35.11, 1599.89, 310.85, 2633.74]",0.88
4,4,person,"[1750.22, 1709.73, 1924.52, 2149.97]",0.79
4,6,person,"[986.3, 1712.19, 1174.34, 2387.16]",0.8
4,7,person,"[881.46, 1716.12, 1017.41, 2136.26]",0.74
4,8,person,"[711.11, 1700.61, 860.55, 2102.47]",0.69
4,9,backpack,"[984.16, 1800.19, 1180.2, 2073.05]",0.43
5,1,person,"[344.32, 1648.01, 698.4, 2706.6]",0.88
5,2,person,"[1155.62, 1674.95, 1376.04, 2449.86]",0.84
5,3,person,"[35.96, 1607.97, 308.93, 2619.44]",0.88
5,4,person,"[1751.97, 1715.45, 1924.72, 2151.81]",0.78
5,6,person,"[990.47, 1717.62, 1181.25, 2400.74]",0.77
5,7,person,"[880.66, 1719.08, 1016.02, 2137.84]",0.76
5,8,person,"[707.87, 1700.75, 858.04, 2104.29]",0.7
5,9,backpack,"[987.23, 1794.19, 1187.26, 2073.38]",0.41
6,1,person,"[342.78, 1652.0, 696.87, 2710.83]",0.87
6,2,person,"[1154.91, 1677.92, 1375.56, 2454.47]",0.83
